	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G66970	1903.99043159883	-2.7789472277672	0.0790002432111261	-35.1764388919732	4.58440005624734e-271	8.72136266700494e-267
AT5G16250	1199.26410441569	2.39398984167021	0.0914347461987211	26.1824956178825	4.2058430454412e-151	4.00059790482367e-147
AT5G17490	527.798009475594	3.89214879314536	0.171069460611401	22.7518621923214	1.37537038724642e-114	8.72168208232528e-111
AT5G51810	390.557932924333	-3.51219330340939	0.15998500094198	-21.9532661357617	8.05978103717546e-107	3.83323186128065e-103
AT5G17890	597.484531705087	7.78037584057742	0.373587475506419	20.8261153027967	2.51013885644424e-96	9.55057632099904e-93
AT4G16215	277.799403717543	4.04182544766752	0.196035498616709	20.6178242011675	1.89909090216194e-94	6.02138422045478e-91
AT5G15360	501.30427154531	-2.30664733286048	0.131767938494961	-17.505376187916	1.30362922889956e-68	3.54289177865503e-65
AT2G43100	1863.33740464126	1.28524908889236	0.0753977788105907	17.0462460455377	3.72715505754378e-65	8.86317472683912e-62
AT4G27260	1530.32777445868	-1.31134635840532	0.0808095729943247	-16.2276115293595	3.21737209937382e-59	6.80080964649863e-56
AT5G23010	1393.72257749526	1.33331106310887	0.0853355831763132	15.6243270799953	4.97142269907499e-55	9.45763454272026e-52
AT1G16410	1536.59359539117	1.77306093490498	0.114065939011844	15.5441751522413	1.742516570735e-54	3.01360320378752e-51
AT5G44680	1543.6426880987	1.18579823080998	0.0768710624270837	15.4258077535323	1.09773066162714e-53	1.74026900889955e-50
AT1G06360	529.100707123908	1.61873831695196	0.105704897864982	15.3137494065752	6.18908582430385e-53	9.05701297858126e-50
AT3G58990	994.486507062709	1.44910809883869	0.095213706202049	15.2195325299448	2.62399275375015e-52	3.56563129623877e-49
AT5G17870	1877.33552208893	1.16594133584115	0.0777917296544783	14.9879857540104	8.798118505275e-51	1.11583604296234e-47
AT2G28470	2446.33347343019	1.02027858023793	0.0691402217611989	14.7566576190894	2.78757250301535e-49	3.31442370608526e-46
AT1G15550	766.721569023325	-1.74800241661123	0.12024641544983	-14.5368359636512	7.07898053415055e-48	7.92179562833412e-45
AT1G02205	278.26239894352	2.48485066625544	0.173233791847867	14.34391431227	1.16306136211906e-46	1.22922663071961e-43
AT5G14200	2151.10951976488	1.11079813236523	0.080164235943402	13.8565299013077	1.16155368443921e-43	1.16302091014587e-40
